age,teeth,dent,sedWT,sedMAR,teethAR,dentAR,IODP_ID
0.234737,18,0,10.0767,40.57894737,72.4861366,0,596-1H-2W-5-7cm
0.529474,13,0,10.9026,36.06666667,43.00503244,0,596-1H-2W-33-35cm
0.785,2,0,10.6928,34.6,6.471644471,0,596-1H-2W-55-57cm
1.076667,9,0,10.1385,32.93333333,29.23509395,0,596-1H-2W-80-82cm
1.405,20,1,10.9065,30.9,56.66345757,2.833172879,596-1H-2W-105-107cm
1.78,8,1,9.1026,28.4,24.95990157,3.119987696,596-1H-2W-130-132cm
2.155,1,0,6.9567,25.8,3.708654966,0,596-1H-3W-5-7cm
2.56,29,0,9.77,22.3,66.19242579,0,596-1H-3W-30-32cm
3.06,14,0,5.867,23.55,56.1956707,0,596-1H-3W-55-57cm
3.506667,21,0,8.996,23.46666667,54.77990218,0,596-1H-3W-80-82cm
3.96,39,1,12.853,22.81666667,69.23286392,1.775201639,596-1H-3W-105-107cm
4.46,61,5,9.8368,22.4,138.9069616,11.38581653,596-1H-3W-130-132cm
4.959048,144,4,9.0469,22.02380952,350.5541756,9.737615989,596-1H-4W-5-7cm
5.435238,69,5,9.0457,22.61904762,172.5365959,12.50265188,596-1H-4W-30-32cm
5.949524,44,1,10.9751,26.66666667,106.908669,2.429742478,596-1H-4W-57-59cm
6.34,38,1,8.7455,29.33333333,127.456025,3.354105921,596-1H-4W-81-83cm
6.682857,18,2,6.6193,28.19047619,76.65894754,8.517660837,596-1H-4W-105-107cm
9.28186,4,0,6.2959,37.1627907,23.61078842,0,596-1H-4W-132-134cm
9.574884,14,0,8.5129,31.30232558,51.47864513,0,596-1H-5W-3-5cm
9.874483,37,2,8.6197,25.86206897,111.0127443,6.000688879,596-1H-5W-24-26cm
10.426207,11,1,6.9299,23.74137931,37.68527286,3.425933897,596-2H-1W-6-8cm
11.288276,17,0,8.1675,21.15517241,44.03280453,0,596-2H-1W-56-58cm
11.7075,31,0,6.4115,25.2,121.8435623,0,596-2H-1W-80-82cm
12.145,37,0,8.1051,28.65,130.7880224,0,596-2H-1W-106-108cm
12.505,27,1,9.6005,27.45,77.19910421,2.859226082,596-2H-1W-130-132cm
12.826047,22,1,10.7396,29.23255814,59.88270318,2.721941054,596-2H-2W-5-7cm
13.128372,7,0,9.8828,32.86046512,23.27510987,0,596-2H-2W-31-33cm
14.756216,3,0,7.4015,34.86486486,14.13154017,0,596-2H-2W-55-57cm
15.8775,2,0,7.1506,34.075,9.530668755,0,596-2H-2W-80-82cm
16.19,7,0,7.0661,29.7,29.42217065,0,596-2H-2W-105-107cm
16.496098,7,0,6.9133,27.46341463,27.80783453,0,596-2H-2W-130-132cm
16.815,13,0,8.1302,25.83333333,41.30689692,0,596-2H-3W-5-7cm
17.205,11,1,7.6246,24.96666667,36.01937588,3.274488716,596-2H-3W-31-33cm
17.565,5,0,6.46,24.16666667,18.70485036,0,596-2H-3W-55-57cm
17.97871,14,1,7.0535,24,47.63592543,3.402566102,596-2H-3W-81-83cm
18.381935,3,0,6.173,24,11.66369674,0,596-2H-3W-106-108cm
18.748108,8,2,6.9636,24.21621622,27.82034145,6.955085363,596-2H-3W-130-132cm
19.085946,12,1,8.5546,24.89189189,34.91720276,2.909766896,596-2H-4W-5-7cm
19.593333,116,57,9.2209,13.96666667,175.7022995,86.33647475,596-2H-4W-31-33cm
20.233333,131,35,9.0705,13.56666667,195.935542,52.3491906,596-2H-4W-55-57cm
20.9,117,28,8.4475,13.15,182.1308079,43.58686002,596-2H-4W-80-82cm
21.587059,166,46,11.5526,13,186.7977771,51.76323944,596-2H-4W-105-107cm
22.257647,145,42,8.4418,13,223.2936104,64.67814921,596-2H-4W-129-131cm
22.956176,150,59,8.4043,10.64865768,190.0573102,74.75587535,596-2H-5W-4-6cm
23.193846,55,9,8.302,9.412344936,62.35593489,10.20369844,596-2H-5W-11-13cm
23.386154,22,4,6.5268,8.828783833,29.75933755,5.410788645,596-2H-5W-16-18cm
23.591282,55,9,7.4144,7.067027066,52.42318848,8.578339932,596-2H-5W-21-23cm
23.847692,39,6,9.3557,7.072004082,29.48022694,4.535419529,596-2H-5W-26-28cm
24.155385,61,14,7.2351,7.078027086,59.67569933,13.69606214,596-2H-5W-32-34cm
24.411795,28,7,7.6534,7.083027086,25.913288,6.478322001,596-2H-5W-37-39cm
24.668205,31,7,7.1461,7.088027086,30.74807792,6.94311437,596-2H-5W-42-44cm
24.822051,47,2,9.1214,7.091015563,36.538002,1.554808596,596-2H-5W-45-47cm
25.437436,54,15,6.1412,7.114200655,62.55566264,17.37657295,596-2H-5W-57-59cm
25.54,46,2,8.8834,7.067637871,36.59762502,1.591201088,596-2H-5W-59-61cm
25.85,32,4,9.7258,7.086989852,23.31773996,2.914717495,596-2H-5W-65-67cm
26.676667,39,6,5.8769,7.13861483,47.37293103,7.288143236,596-2H-5W-81-83cm
