Name,Long,Lat,Program,Expedition,Site,Hole,water_depth,core,date,platform,Hiatus_status
DSDP 1-1,-92.1833,25.8583,DSDP,1,1,NA,2827 m,50 m,NA,Challenger,0
DSDP 1-2,-92.0587,23.0455,DSDP,1,2,NA,3572 m,13 m,NA,Challenger,1
DSDP 1-3,-92.0433,23.03,DSDP,1,3,NA,3747 m,47 m,NA,Challenger,0
DSDP 1-4,-73.792,24.478,DSDP,1,4,NA,5319 m,15 m,NA,Challenger,1
DSDP 1-4-A,-73.792,24.478,DSDP,1,4,A,5319 m,5.8 m,NA,Challenger,1
DSDP 1-5,-73.641,24.7265,DSDP,1,5,NA,5354 m,6.4 m,NA,Challenger,1
DSDP 1-5-A,-73.641,24.7265,DSDP,1,5,A,5354 m,1.8 m,NA,Challenger,1
DSDP 1-6,-67.6477,30.8398,DSDP,1,6,NA,5124 m,28 m,NA,Challenger,1
DSDP 1-6-A,-67.6477,30.8398,DSDP,1,6,A,5124 m,NA,NA,Challenger,1
DSDP 1-7,-68.2967,30.134,DSDP,1,7,NA,5182 m,9.8 m,NA,Challenger,0
DSDP 1-7-A,-68.2967,30.134,DSDP,1,7,A,5182 m,4.6 m,NA,Challenger,0
DSDP 2-10,-52.2153,32.8622,DSDP,2,10,NA,4712 m,77 m,NA,Challenger,3
DSDP 2-11,-44.7467,29.943,DSDP,2,11,NA,3571 m,6.1 m,NA,Challenger,0
DSDP 2-11-A,-44.7467,29.9433,DSDP,2,11,A,3571 m,6.7 m,NA,Challenger,0
DSDP 2-12,-26.0005,19.6955,DSDP,2,12,NA,4557 m,NA,NA,Challenger,1
DSDP 2-12-A,-26.0005,19.6955,DSDP,2,12,A,4557 m,NA,NA,Challenger,1
DSDP 2-12-B,-26.0005,19.6955,DSDP,2,12,B,4557 m,2.7 m,NA,Challenger,1
DSDP 2-12-C,-26,19.695,DSDP,2,12,C,4557 m,30 m,NA,Challenger,1
DSDP 2-12-D,-26,19.695,DSDP,2,12,D,4557 m,39 m,NA,Challenger,1
DSDP 2-8,-67.5533,35.3833,DSDP,2,8,NA,5184 m,4.7 m,NA,Challenger,1
DSDP 2-8-A,-67.5533,35.3833,DSDP,2,8,A,5184 m,3 m,NA,Challenger,1
DSDP 2-9,-59.195,32.7733,DSDP,2,9,NA,4973 m,36 m,NA,Challenger,1
DSDP 2-9-A,-59.195,32.7733,DSDP,2,9,A,4973 m,11 m,NA,Challenger,1
DSDP 3-13,-18.2285,6.04,DSDP,3,13,NA,4585 m,26 m,NA,Challenger,1
DSDP 3-13-A,-18.2285,6.04,DSDP,3,13,A,4585 m,11 m,NA,Challenger,1
DSDP 3-14,-20.941,-28.3315,DSDP,3,14,NA,4343 m,79 m,NA,Challenger,2
DSDP 3-15,-17.9832,-30.8897,DSDP,3,15,NA,3927 m,80 m,NA,Challenger,5
DSDP 3-16,-15.7132,-30.3358,DSDP,3,16,NA,3527 m,99 m,NA,Challenger,0
DSDP 3-17,-6.6025,-28.0457,DSDP,3,17,NA,4265 m,36 m,NA,Challenger,4
DSDP 3-17-A,-6.6025,-28.0457,DSDP,3,17,A,4265 m,35 m,NA,Challenger,4
DSDP 3-17-B,-6.6025,-28.0457,DSDP,3,17,B,4360 m,36 m,NA,Challenger,4
DSDP 3-18,-8.0117,-27.9787,DSDP,3,18,NA,4018 m,52 m,NA,Challenger,1
DSDP 3-19,-23.6772,-28.5347,DSDP,3,19,NA,4677 m,96 m,NA,Challenger,2
DSDP 3-20,-26.843,-28.5262,DSDP,3,20,NA,4500 m,6.1 m,NA,Challenger,4
DSDP 3-20-A,-26.8455,-28.5245,DSDP,3,20,A,4518 m,11 m,NA,Challenger,4
DSDP 3-20-B,-26.8455,-28.5245,DSDP,3,20,B,4518 m,9 m,NA,Challenger,4
DSDP 3-20-C,-26.8455,-28.5245,DSDP,3,20,C,4506 m,48 m,NA,Challenger,4
DSDP 3-21,-30.5975,-28.585,DSDP,3,21,NA,2113 m,72 m,NA,Challenger,2
DSDP 3-21-A,-30.5975,-28.585,DSDP,3,21,A,2113 m,27 m,NA,Challenger,2
DSDP 3-22,-35.25,-30.0052,DSDP,3,22,NA,2134 m,38 m,NA,Challenger,4
DSDP 4-23,-31.0433,-6.1458,DSDP,4,23,NA,5079 m,23 m,NA,Challenger,0
DSDP 4-24,-30.8922,-6.2717,DSDP,4,24,NA,5148 m,5.2 m,NA,Challenger,1
DSDP 4-24-A,-30.891,-6.2763,DSDP,4,24,A,5148 m,3.3 m,NA,Challenger,1
DSDP 4-25,-39.24,-0.5167,DSDP,4,25,NA,1916 m,25 m,NA,Challenger,2
DSDP 4-25-A,-39.24,-0.5167,DSDP,4,25,A,1916 m,2.7 m,NA,Challenger,2
DSDP 4-26,-44.0428,10.8925,DSDP,4,26,NA,5169 m,NA,NA,Challenger,0
DSDP 4-26-A,-44.0428,10.8925,DSDP,4,26,A,5169 m,14 m,NA,Challenger,0
DSDP 4-27,-56.8793,15.8565,DSDP,4,27,NA,5251 m,29 m,NA,Challenger,2
DSDP 4-27-A,-56.8793,15.8565,DSDP,4,27,A,5251 m,31 m,NA,Challenger,2
