unique sample ID or species Name,Which image file (or paper for modern),which object number,KPg. 66.04; Modern=0,type name,Taxonomy,Updated 8/6/2020 from rfishbase output,,,,
SampleID,Image,ObjNum,Age,Type,Possible_Name,Accepted_Name,Genus,Family,Order,Class
Chlamydoselachus_anguineus,Castro,"Pg. 22, Fig. 1d",0,Central Ridged Triangle,Chlamydoselachus anguineus,Chlamydoselachus anguineus,Chlamydoselachus,Chlamydoselachidae,Hexanchiformes,Elasmobranchii
Heptranchias_perlo,Castro,"Pg. 28, Fig. 2d",0,Trident,Heptranchias perlo,Heptranchias perlo,Heptranchias,Hexanchidae,Hexanchiformes,Elasmobranchii
Hexanchus_griseus,Castro,Pg. 31,0,Round Sided Trident,Hexanchus griseus,Hexanchus griseus,Hexanchus,Hexanchidae,Hexanchiformes,Elasmobranchii
Hexanchus_nakamurai,Castro,Pg. 36,0,Round Sided Trident,Hexanchus nakamurai,Hexanchus nakamurai,Hexanchus,Hexanchidae,Hexanchiformes,Elasmobranchii
Notorynchus_cepedianus,Castro,Pg. 38,0,Trident,Notorynchus cepedianus,Notorynchus cepedianus,Notorynchus,Hexanchidae,Hexanchiformes,Elasmobranchii
Echinorhinus_brucus,Castro,Pg. 44,0,Radial Angled Spines,Echinorhinus brucus,Echinorhinus brucus,Echinorhinus,Echinorhinidae,Squaliformes,Elasmobranchii
Echinorhinus_cookei,Castro,Pg. 47,0,Radial Angled Spines,Echinorhinus cookei,Echinorhinus cookei,Echinorhinus,Echinorhinidae,Squaliformes,Elasmobranchii
Cirrhigaleus_asper,Castro,Pg. 52,0,Funky Central Ridged Spade,Cirrhigaleus asper,Cirrhigaleus asper,Cirrhigaleus,Squalidae,Squaliformes,Elasmobranchii
Squalus_acanthias,Castro,Pg. 55,0,Round Sided Trident,Squalus acanthias,Squalus acanthias,Squalus,Squalidae,Squaliformes,Elasmobranchii
Squalus_cubensis,Castro,Pg. 63,0,Oak Leaf,Squalus cubensis,Squalus cubensis,Squalus,Squalidae,Squaliformes,Elasmobranchii
Centrophorus_squamosus,Castro,Pg. 76,0,Funky Central Ridged Spade,Centrophorus squamosus,Centrophorus squamosus,Centrophorus,Centrophoridae,Squaliformes,Elasmobranchii
Centrophorus_tessellatus,Castro,Pg. 79 15 d,0,Minnie Indented Shell,Centrophorus tessellatus,Centrophorus tessellatus,Centrophorus,Centrophoridae,Squaliformes,Elasmobranchii
Centrophorus_niaukang,Castro,Pg. 73 13 d,0,Minnie Indented Shell,Centrophorus niaukang,Centrophorus granulosus,Centrophorus,Centrophoridae,Squaliformes,Elasmobranchii
Centrophorus_isodon,Castro,Pg. 71 12 e,0,Minnie Indented Shell,Centrophorus isodon,Centrophorus isodon,Centrophorus,Centrophoridae,Squaliformes,Elasmobranchii
Squalus_mitsukuri,Castro,Pg. 65,0,Funky Central Ridged Spade,Squalus mitsukuri,Squalus mitsukurii,Squalus,Squalidae,Squaliformes,Elasmobranchii
Centroscyllium_fabricii,Castro,Pg. 93,0,Radial Angled Spines,Centroscyllium fabricii,Centroscyllium fabricii,Centroscyllium,Etmopteridae,Squaliformes,Elasmobranchii
Deania_profundorum,Castro,Pg. 89,0,Dagger,Deania profundorum,Deania profundorum,Deania,Centrophoridae,Squaliformes,Elasmobranchii
Deania_calcea,Castro,Pg. 86,0,Dagger,Deania calcea,Deania calcea,Deania,Centrophoridae,Squaliformes,Elasmobranchii
Centrophorus_a.,Castro,Pg. 84 17 d,0,Minnie Indented Shell,Centrophorus a.,Centrophorus a.__a__,Centrophorus,Centrophoridae,Squaliformes,Elasmobranchii
Centrophorus_b.,Castro,Pg. 85 18 d,0,Minnie Indented Shell,Centrophorus b.,Centrophorus b.__a__,Centrophorus,Centrophoridae,Squaliformes,Elasmobranchii
Centrophorus_uyato,Castro,Pg. 81 16 e,0,Minnie Indented Shell,Centrophorus uyato,Centrophorus uyato,Centrophorus,Centrophoridae,Squaliformes,Elasmobranchii
Centroscyllium_nigrum,Castro,Pg. 96,0,Radial Angled Spines,Centroscyllium nigrum,Centroscyllium nigrum,Centroscyllium,Etmopteridae,Squaliformes,Elasmobranchii
Etmopterus_bigelowi,Castro,Pg. 98,0,Kite-Like,Etmopterus bigelowi,Etmopterus bigelowi,Etmopterus,Etmopteridae,Squaliformes,Elasmobranchii
Etmopterus_bullisi,Castro,Pg. 101,0,Triangular Spines,Etmopterus bullisi,Etmopterus bullisi,Etmopterus,Etmopteridae,Squaliformes,Elasmobranchii
Etmopterus_gracilispinis,Castro,Ps. 103,0,Triangular Spines,Etmopterus gracilispinis,Etmopterus gracilispinis,Etmopterus,Etmopteridae,Squaliformes,Elasmobranchii
Etmopterus_hillianus,Castro,Pg. 105,0,Circular tipping spines,Etmopterus hillianus,Etmopterus hillianus,Etmopterus,Etmopteridae,Squaliformes,Elasmobranchii
Etmopterus_princeps,Castro,Pg. 107,0,Triangular Spines,Etmopterus princeps,Etmopterus princeps,Etmopterus,Etmopteridae,Squaliformes,Elasmobranchii
Etmopterus_schultzi,Castro,Pg. 110,0,Triangular Spines,Etmopterus schultzi,Etmopterus schultzi,Etmopterus,Etmopteridae,Squaliformes,Elasmobranchii
Etmopterus_virens,Castro,Pg. 112,0,Circular tipping spines,Etmopterus virens,Etmopterus virens,Etmopterus,Etmopteridae,Squaliformes,Elasmobranchii
Centroscymnus_coelolepis,Castro,Pg. 117,0,Smooth Petal,Centroscymnus coelolepis,Centroscymnus coelolepis,Centroscymnus,Somniosidae,Squaliformes,Elasmobranchii
Centroscymnus_owstoni,Castro,Pg. 120,0,Smooth Petal,Centroscymnus owstoni,Centroscymnus owstonii,Centroscymnus,Somniosidae,Squaliformes,Elasmobranchii
Zameus_squamulosus,Castro,Pg. 122,0,Round Bottomed Textured Tulip,Zameus squamulosus,Zameus squamulosus,Zameus,Somniosidae,Squaliformes,Elasmobranchii
Somniosus_pacificus,Castro,Pg. 131,0,Circular tipping spines,Somniosus pacificus,Somniosus pacificus,Somniosus,Somniosidae,Squaliformes,Elasmobranchii
Somniosus_rostratus,Castro,Pg. 135,0,Central Ridged Triangle,Somniosus rostratus,Somniosus rostratus,Somniosus,Somniosidae,Squaliformes,Elasmobranchii
Oxynotus_caribbaeus,Castro,Pg. 138,0,Dagger,Oxynotus caribbaeus,Oxynotus caribbaeus,Oxynotus,Oxynotidae,Squaliformes,Elasmobranchii
Dalatias_licha,Castro,Pg. 142,0,Central Ridged Triangle,Dalatias licha,Dalatias licha,Dalatias,Dalatiidae,Squaliformes,Elasmobranchii
Isistius_brasiliensis,Castro,Pg. 145,0,Kite with Bubble,Isistius brasiliensis,Isistius brasiliensis,Isistius,Dalatiidae,Squaliformes,Elasmobranchii
Isistius_plutodus,Castro,Pg. 151,0,Sharp Kite,Isistius plutodus,Isistius plutodus,Isistius,Dalatiidae,Squaliformes,Elasmobranchii
Euprotomicrus_bispinatus,Castro,Pg. 153,0,Many Celled Central Complex Polygon,Euprotomicrus bispinatus,Euprotomicrus bispinatus,Euprotomicrus,Dalatiidae,Squaliformes,Elasmobranchii
Squaliolus_laticaudus,Castro,Pg. 156,0,Sharp Kite,Squaliolus laticaudus,Squaliolus laticaudus,Squaliolus,Dalatiidae,Squaliformes,Elasmobranchii
Pristiophorus_schroederi,Castro,Pg. 160,0,Trident,Pristiophorus schroederi,Pristiophorus schroederi,Pristiophorus,Pristiophoridae,Pristiophoriformes,Elasmobranchii
Squatina_californica,Castro,Pg. 163,0,Smooth Petal,Squatina californica,Squatina californica,Squatina,Squatinidae,Squatiniformes,Elasmobranchii
Squatina_dumeril,Castro,Pg. 167,0,Smooth Petal,Squatina dumeril,Squatina dumeril,Squatina,Squatinidae,Squatiniformes,Elasmobranchii
