unique sample ID or species Name,Which image file (or paper for modern),which object number,Which slide in the powerpoint,KPg. 66.04; Modern=0,type name
SampleID,Image,ObjNum,SlideNum,Age,Type
ODP-886C-NP012-24-7H-2W-95-98cm_N1of1_z200x_2D,ODP-886C-NP012-24-7H-2W-95-98cm_N1of1_z200x_2D_obj0001,1,2,10.73003,Five Thin Ridged Fan
ODP-886C-NP017-34-7H-2W-145-148cm_N1of1_z200x_2d,ODP-886C-NP017-34-7H-2W-145-148cm_N1of1_z200x_2d_obj0001,1,3,10.960438,Asymmetrical Kite with Oval Center
ODP-886C-NP018-35-7H-3W-5-8cm_N1of1_z200x_2d,ODP-886C-NP018-35-7H-3W-5-8cm_N1of1_z200x_2d_obj0001,1,4,11.005616,Smooth
ODP-886C-NP021-41-7H-3W-35-38cm_N1of1_z200x_2d,ODP-886C-NP021-41-7H-3W-35-38cm_N1of1_z200x_2d_obj0001,1,5,11.142071,GenLin
ODP-886C-NP021-42-7H-3W-40-43cm_N1of1_z200x_2d,ODP-886C-NP021-42-7H-3W-40-43cm_N1of1_z200x_2d_obj0001,1,6,11.165643,Trident
ODP-886C-NP024-47-7H-3W-65-68cm_N1of1_z200x_2d,ODP-886C-NP024-47-7H-3W-65-68cm_N1of1_z200x_2d_obj0001,1,7,11.300326,Trident
ODP-886C-NP024-47-7H-3W-65-68cm_N1of1_z200x_2d,ODP-886C-NP024-47-7H-3W-65-68cm_N1of1_z200x_2d_obj0002,2,7,11.300326,Chubby Trident
ODP-886C-NP025-49-7H-3W-75-78cm_N1of1_z200x_2d,ODP-886C-NP025-49-7H-3W-75-78cm_N1of1_z200x_2d_obj0001,1,8,11.380761,Trident
ODP-886C-NP025-50-7H-3W-80-83cm_N1of1_z200x_2d,ODP-886C-NP025-50-7H-3W-80-83cm_N1of1_z200x_2d_obj0001,1,9,11.420978,Trident
ODP-886-060-7H-3W-130-133cm-g106_Hwell_N2of2_Mcompound_Oflat_I1_TzEDF-0_X5,ODP-886-060-7H-3W-130-133cm-g106_obj00004_edf,4,1,22.3102,GenGeo
ODP-886-060-7H-3W-130-133cm-g106_Hwell_N2of2_Mcompound_Oflat_I1_TzEDF-0_X5,ODP-886-060-7H-3W-130-133cm-g106_obj00005_edf,5,15,22.3102,z
ODP-886-060-7H-3W-130-133cm-g106_Hwell_N2of2_Mcompound_Oflat_I1_TzEDF-0_X5,ODP-886-060-7H-3W-130-133cm-g106_obj00006_edf,6,15,22.3102,z
ODP-886-060-7H-3W-130-133cm-g106_Hwell_N2of2_Mcompound_Oflat_I1_TzEDF-0_X5,ODP-886-060-7H-3W-130-133cm-g106_obj00007_edf,7,15,22.3102,z
ODP-886-060-7H-3W-130-133cm-g106_Hwell_N2of2_Mcompound_Oflat_I1_TzEDF-0_X5,ODP-886-060-7H-3W-130-133cm-g106_obj00008_edf,8,17,22.3102,z
ODP-886-060-7H-3W-130-133cm-g106_Hwell_N2of2_Mcompound_Oflat_I1_TzEDF-0_X5,ODP-886-060-7H-3W-130-133cm-g106_obj00011_edf,11,2,22.3102,Five Ridged Linear Fan
ODP-886-060-7H-3W-130-133cm-g106_Hwell_N2of2_Mcompound_Oflat_I1_TzEDF-0_X5,ODP-886-060-7H-3W-130-133cm-g106_obj00012_edf,12,2,22.3102,Five Thin Ridged Fan
ODP-886-060-7H-3W-130-133cm-g106_Hwell_N2of2_Mcompound_Oflat_I1_TzEDF-0_X5,ODP-886-060-7H-3W-130-133cm-g106_obj00013_edf,13,2,22.3102,GenLin
ODP-886-060-7H-3W-130-133cm-g106_Hwell_N2of2_Mcompound_Oflat_I1_TzEDF-0_X5,ODP-886-060-7H-3W-130-133cm-g106_obj00014_edf,14,3,22.3102,Lopsided Trident
ODP-886-060-7H-3W-130-133cm-g106_Hwell_N2of2_Mcompound_Oflat_I1_TzEDF-0_X5,ODP-886-060-7H-3W-130-133cm-g106_obj00015_edf,15,3,22.3102,Five Thin Ridged Fan
ODP-886-060-7H-3W-130-133cm-g106_Hwell_N2of2_Mcompound_Oflat_I1_TzEDF-0_X5,ODP-886-060-7H-3W-130-133cm-g106_obj00016_edf,16,3,22.3102,Trident
ODP-886-060-7H-3W-130-133cm-g106_Hwell_N2of2_Mcompound_Oflat_I1_TzEDF-0_X5,ODP-886-060-7H-3W-130-133cm-g106_obj00017_edf,17,3,22.3102,Big Three Ridge
ODP-886-060-7H-3W-130-133cm-g106_Hwell_N2of2_Mcompound_Oflat_I1_TzEDF-0_X5,ODP-886-060-7H-3W-130-133cm-g106_obj00018_edf,18,4,22.3102,Llama
ODP-886-060-7H-3W-130-133cm-g106_Hwell_N2of2_Mcompound_Oflat_I1_TzEDF-0_X5,ODP-886-060-7H-3W-130-133cm-g106_obj00019_edf,19,4,22.3102,Five Ridged Linear Fan
ODP-886-060-7H-3W-130-133cm-g106_Hwell_N2of2_Mcompound_Oflat_I1_TzEDF-0_X5,ODP-886-060-7H-3W-130-133cm-g106_obj00020_edf,20,4,22.3102,GenLin
ODP-886-060-7H-3W-130-133cm-g106_Hwell_N2of2_Mcompound_Oflat_I1_TzEDF-0_X5,ODP-886-060-7H-3W-130-133cm-g106_obj00021_edf,21,4,22.3102,Five Ridged Linear Fan
ODP-886-060-7H-3W-130-133cm-g106_Hwell_N2of2_Mcompound_Oflat_I1_TzEDF-0_X5,ODP-886-060-7H-3W-130-133cm-g106_obj00022_edf,22,5,22.3102,Square Kite with Nodules
ODP-886-060-7H-3W-130-133cm-g106_Hwell_N2of2_Mcompound_Oflat_I1_TzEDF-0_X5,ODP-886-060-7H-3W-130-133cm-g106_obj00023_edf,23,5,22.3102,Asymmetrical Kite with Oval Center
ODP-886-060-7H-3W-130-133cm-g106_Hwell_N2of2_Mcompound_Oflat_I1_TzEDF-0_X5,ODP-886-060-7H-3W-130-133cm-g106_obj00024_edf,24,5,22.3102,GenGeo
ODP-886-060-7H-3W-130-133cm-g106_Hwell_N2of2_Mcompound_Oflat_I1_TzEDF-0_X5,ODP-886-060-7H-3W-130-133cm-g106_obj00025_edf,25,5,22.3102,Square Kite with Nodules
ODP-886-060-7H-3W-130-133cm-g106_Hwell_N2of2_Mcompound_Oflat_I1_TzEDF-0_X5,ODP-886-060-7H-3W-130-133cm-g106_obj00026_edf,26,6,22.3102,Kite-Like
ODP-886-060-7H-3W-130-133cm-g106_Hwell_N2of2_Mcompound_Oflat_I1_TzEDF-0_X5,ODP-886-060-7H-3W-130-133cm-g106_obj00027_edf,27,6,22.3102,Sharp Kite
ODP-886-060-7H-3W-130-133cm-g106_Hwell_N2of2_Mcompound_Oflat_I1_TzEDF-0_X5,ODP-886-060-7H-3W-130-133cm-g106_obj00028_edf,28,6,22.3102,Sharp Kite
ODP-886-060-7H-3W-130-133cm-g106_Hwell_N2of2_Mcompound_Oflat_I1_TzEDF-0_X5,ODP-886-060-7H-3W-130-133cm-g106_obj00029_edf,29,6,22.3102,Big Three Ridge
ODP-886-060-7H-3W-130-133cm-g106_Hwell_N2of2_Mcompound_Oflat_I1_TzEDF-0_X5,ODP-886-060-7H-3W-130-133cm-g106_obj00030_edf,30,7,22.3102,GenGeo
ODP-886-060-7H-3W-130-133cm-g106_Hwell_N2of2_Mcompound_Oflat_I1_TzEDF-0_X5,ODP-886-060-7H-3W-130-133cm-g106_obj00031_edf,31,7,22.3102,Four Ridged Linear Fan
ODP-886-060-7H-3W-130-133cm-g106_Hwell_N2of2_Mcompound_Oflat_I1_TzEDF-0_X5,ODP-886-060-7H-3W-130-133cm-g106_obj00032_edf,32,7,22.3102,Five Thin Ridged Fan
ODP-886-060-7H-3W-130-133cm-g106_Hwell_N2of2_Mcompound_Oflat_I1_TzEDF-0_X5,ODP-886-060-7H-3W-130-133cm-g106_obj00033_edf,33,7,22.3102,Angular Edged Arrowhead
ODP-886-060-7H-3W-130-133cm-g106_Hwell_N2of2_Mcompound_Oflat_I1_TzEDF-0_X5,ODP-886-060-7H-3W-130-133cm-g106_obj00034_edf,34,22,22.3102,GenGeo
